STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010
0,United States,308745538,308758105,309321666
0,Northeast Region,55317240,55318443,55380134
0,Midwest Region,66927001,66929725,66974416
0,South Region,114555744,114563030,114866680
0,West Region,71945553,71946907,72100436
1,Alabama,4779736,4780125,4785437
2,Alaska,710231,710249,713910
4,Arizona,6392017,6392288,6407172
5,Arkansas,2915918,2916031,2921964
6,California,37253956,37254519,37319502
8,Colorado,5029196,5029319,5047349
9,Connecticut,3574097,3574147,3579114
10,Delaware,897934,897937,899593
11,District of Columbia,601723,601767,605226
12,Florida,18801310,18804564,18845537
13,Georgia,9687653,9688729,9711881
15,Hawaii,1360301,1360307,1363963
16,Idaho,1567582,1567657,1570746
17,Illinois,12830632,12831572,12840503
18,Indiana,6483802,6484051,6490432
19,Iowa,3046355,3046871,3050745
20,Kansas,2853118,2853123,2858190
21,Kentucky,4339367,4339333,4348181
22,Louisiana,4533372,4533487,4544532
23,Maine,1328361,1328358,1327629
24,Maryland,5773552,5773794,5788645
25,Massachusetts,6547629,6547785,6566307
26,Michigan,9883640,9884116,9877510
27,Minnesota,5303925,5303927,5310828
28,Mississippi,2967297,2968130,2970548
29,Missouri,5988927,5988950,5995974
30,Montana,989415,989407,990697
31,Nebraska,1826341,1826305,1829542
32,Nevada,2700551,2700677,2702405
33,New Hampshire,1316470,1316462,1316762
34,New Jersey,8791894,8791978,8799446
35,New Mexico,2059179,2059199,2064552
36,New York,19378102,19378144,19399878
37,North Carolina,9535483,9535751,9574323
38,North Dakota,672591,672576,674715
39,Ohio,11536504,11536751,11539336
40,Oklahoma,3751351,3751582,3759944
41,Oregon,3831074,3831079,3837491
42,Pennsylvania,12702379,12702868,12711160
44,Rhode Island,1052567,1052964,1053959
45,South Carolina,4625364,4625366,4635649
46,South Dakota,814180,814198,816166
47,Tennessee,6346105,6346276,6355311
48,Texas,25145561,25146091,25241971
49,Utah,2763885,2763891,2775332
50,Vermont,625741,625737,625879
51,Virginia,8001024,8001049,8023699
53,Washington,6724540,6724540,6742830
54,West Virginia,1852994,1853018,1854239
55,Wisconsin,5686986,5687285,5690475
56,Wyoming,563626,563775,564487
72,Puerto Rico,3725789,3726157,3721525
